session_id,scan_no,id,present
2023-02-08_cp_robert_1,1,ap,FALSE
2023-02-08_cp_robert_1,1,bp,TRUE
2023-02-08_cp_robert_1,1,cp,NA
2023-02-08_cp_robert_1,1,lm,TRUE
2023-02-08_cp_robert_1,1,rm,TRUE
2023-02-08_cp_robert_1,1,dp,TRUE
2023-02-08_cp_robert_1,1,oneye,FALSE
2023-02-08_cp_robert_1,1,ep,TRUE
2023-02-08_cp_robert_1,1,new1,FALSE
2023-02-08_cp_robert_1,1,new2,FALSE
2023-02-08_cp_robert_1,1,AM1,FALSE
2023-02-08_cp_robert_1,1,AF1,FALSE
2023-02-08_cp_robert_1,1,J1,TRUE
2023-02-08_cp_robert_1,1,I1,TRUE
