session_id,scan_no,id,present
2023-02-12_as_maria_1,1,as,NA
2023-02-12_as_maria_1,1,bs,TRUE
2023-02-12_as_maria_1,1,cs,TRUE
2023-02-12_as_maria_1,1,ds,FALSE
2023-02-12_as_maria_1,1,es,FALSE
2023-02-12_as_maria_1,1,fs,FALSE
2023-02-12_as_maria_1,1,hs,FALSE
2023-02-12_as_maria_1,1,zj,FALSE
2023-02-12_as_maria_1,1,ij,TRUE
2023-02-12_as_maria_1,1,new1,FALSE
2023-02-12_as_maria_1,1,new2,FALSE
2023-02-12_as_maria_1,1,AM1,FALSE
2023-02-12_as_maria_1,1,AF1,FALSE
2023-02-12_as_maria_1,1,J1,TRUE
2023-02-12_as_maria_1,1,I1,FALSE
